City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Enkoping,SE,2021-09-10 03:54:03,59.6361,17.0777,57.07,94,98,6.08
99,Clarksburg,US,2021-09-10 03:54:03,39.2807,-80.3445,57.31,99,3,1.92
100,Sao Miguel,BR,2021-09-10 03:54:04,-5.4667,-35.3667,73.72,85,9,10.76
101,Tsabong,BW,2021-09-10 03:54:04,-26.0217,22.401,64.02,61,0,19.06
102,Oktyabrskoye,RU,2021-09-10 03:50:21,43.0645,44.7417,51.94,100,6,0.0
103,Dibulla,CO,2021-09-10 03:54:04,11.2725,-73.3091,78.85,87,88,12.01
104,Meulaboh,ID,2021-09-10 03:54:05,4.1363,96.1285,83.61,62,100,1.7
105,Qaqortoq,GL,2021-09-10 03:50:21,60.7167,-46.0333,45.55,90,100,5.14
106,Pontes E Lacerda,BR,2021-09-10 03:54:05,-15.2261,-59.3353,74.68,53,61,3.98
107,Upernavik,GL,2021-09-10 03:50:22,72.7868,-56.1549,31.71,75,70,7.58
108,Bubaque,GW,2021-09-10 03:50:22,11.2833,-15.8333,80.69,81,100,13.58
109,Capoterra,IT,2021-09-10 03:54:06,39.1763,8.9718,71.31,88,20,2.3
110,Alta Floresta,BR,2021-09-10 03:54:06,-9.8756,-56.0861,69.85,95,100,1.5
111,Mtambile,TZ,2021-09-10 03:54:06,-5.3833,39.7,75.18,76,24,8.41
112,Sept-Iles,CA,2021-09-10 03:54:07,50.2001,-66.3821,60.06,98,90,0.0
113,Tema,GH,2021-09-10 03:54:07,5.667,-0.0166,77.41,94,75,3.44
114,Minsk,BY,2021-09-10 03:51:34,53.9,27.5667,51.55,87,8,6.06
115,San Juan,AR,2021-09-10 03:50:22,-31.5375,-68.5364,54.84,38,0,4.16
116,Umm Kaddadah,SD,2021-09-10 03:54:07,13.6017,26.6876,81.21,65,91,12.35
117,Nieuw Amsterdam,SR,2021-09-10 03:54:08,5.8833,-55.0833,80.02,89,52,8.52
118,Puerto Baquerizo Moreno,EC,2021-09-10 03:54:08,-0.9,-89.6,69.22,82,87,10.94
119,Svetlogorsk,BY,2021-09-10 03:54:08,52.6333,29.7333,53.56,92,11,4.83
120,Porto Belo,BR,2021-09-10 03:50:23,-27.1578,-48.5531,64.38,88,52,6.69
121,Mwingi,KE,2021-09-10 03:54:09,-0.9344,38.0601,61.97,80,95,5.61
122,Dingle,PH,2021-09-10 03:50:24,10.9995,122.6711,80.37,86,100,10.04
123,Cayenne,GF,2021-09-10 03:50:24,4.9333,-52.3333,81.09,85,0,3.0
124,Bosaso,SO,2021-09-10 03:50:24,11.2842,49.1816,93.16,36,37,19.24
125,Poltavka,RU,2021-09-10 03:54:09,54.3663,71.7632,57.07,50,85,19.19
126,Kontagora,NG,2021-09-10 03:50:24,10.3999,5.4695,72.97,91,100,3.24
127,Jizan,SA,2021-09-10 03:54:10,17.3333,42.6667,81.54,62,15,4.16
128,Bodo,NO,2021-09-10 03:54:10,67.28,14.405,45.95,94,75,5.75
129,Barahona,DO,2021-09-10 03:54:10,18.2085,-71.1008,79.5,83,95,2.91
130,Qafqafa,JO,2021-09-10 03:54:10,32.3483,35.9395,69.15,88,1,7.47
131,Kulhudhuffushi,MV,2021-09-10 03:54:11,6.6221,73.07,82.8,73,79,12.53
132,Yabelo,ET,2021-09-10 03:54:11,4.8833,38.0833,58.19,81,100,11.59
133,Maromitsa,RU,2021-09-10 03:54:11,59.8683,48.0123,41.25,93,100,5.01
134,Putina,PE,2021-09-10 03:54:12,-15.4667,-69.4333,43.23,80,100,10.36
135,Pozo Colorado,PY,2021-09-10 03:54:12,-23.4923,-58.7972,60.13,41,39,4.18
136,Bjornevatn,NO,2021-09-10 03:54:12,69.6672,29.9847,40.62,81,75,9.22
137,Blagoyevo,RU,2021-09-10 03:54:13,63.3667,47.9167,40.14,87,79,5.44
138,Carutapera,BR,2021-09-10 03:50:27,-1.195,-46.02,77.49,82,39,7.02
139,Aksu,CN,2021-09-10 03:50:26,41.1231,80.2644,81.63,17,98,3.31
140,Bestobe,KZ,2021-09-10 03:54:13,52.4994,73.0975,60.89,45,70,20.94
141,General Artigas,PY,2021-09-10 03:54:13,-26.9333,-56.2167,58.89,82,0,4.32
142,Karatau,KZ,2021-09-10 03:54:14,43.1667,70.4667,63.41,29,99,4.56
143,Goderich,CA,2021-09-10 03:54:14,43.7501,-81.7165,65.91,87,8,2.3
144,Hammerfest,NO,2021-09-10 03:50:28,70.6634,23.6821,46.85,76,75,18.41
145,Turayf,SA,2021-09-10 03:54:14,31.6725,38.6637,66.45,48,0,8.05
146,Goba,ET,2021-09-10 03:54:15,7.0167,39.9833,48.76,79,22,4.59
147,Revda,RU,2021-09-10 03:50:29,56.801,59.9303,49.01,90,100,12.59
148,Zhezkazgan,KZ,2021-09-10 03:54:15,47.8043,67.7144,63.28,29,5,14.41
149,Mapiri,BO,2021-09-10 03:54:15,-15.25,-68.1667,66.6,99,100,1.43
150,Dalvik,IS,2021-09-10 03:50:29,65.9702,-18.5286,49.93,75,98,11.63
151,Parrita,CR,2021-09-10 03:54:16,9.5201,-84.3225,80.98,89,100,2.17
152,Jurado,CO,2021-09-10 03:54:16,7.1053,-77.7641,78.04,91,100,2.57
153,Turkmenabat,TM,2021-09-10 03:54:16,39.0733,63.5786,66.18,20,0,16.11
154,Eydhafushi,MV,2021-09-10 03:50:30,5.1033,73.0708,82.83,71,86,10.07
155,Qaanaaq,GL,2021-09-10 03:50:30,77.484,-69.3632,16.32,69,37,8.08
156,Verkhozim,RU,2021-09-10 03:54:17,52.7122,45.418,56.05,85,63,7.85
157,Calvinia,ZA,2021-09-10 03:50:31,-31.4707,19.776,54.86,25,58,2.24
158,Rocha,UY,2021-09-10 03:49:26,-34.4833,-54.3333,48.11,97,22,6.08
159,Guarapari,BR,2021-09-10 03:50:32,-20.6667,-40.4975,75.09,87,1,8.21
160,Cacoal,BR,2021-09-10 03:54:17,-11.4386,-61.4472,74.84,89,100,0.65
161,Catio,GW,2021-09-10 03:54:17,11.2833,-15.25,76.71,92,100,9.75
162,Maceio,BR,2021-09-10 03:49:56,-9.6658,-35.7353,72.84,94,40,2.3
