,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Hobyo,SO,5.3505,48.5268,78.91,84,95,21.18,overcast clouds
118,Decatur,US,39.8403,-88.9548,64.26,66,0,7.2,clear sky
119,Saryagash,KZ,41.4511,69.1701,75.16,15,0,3.0,clear sky
120,Dingle,PH,10.9995,122.6711,86.09,68,77,8.48,light rain
121,Baghdad,IQ,33.3406,44.4009,84.24,25,0,12.21,clear sky
122,Eregli,TR,37.5133,34.0467,56.66,82,7,2.68,clear sky
123,Luangwa,ZM,-15.6167,30.4167,66.83,42,34,1.41,scattered clouds
124,Listvyagi,RU,53.6772,86.951,62.92,47,92,3.56,overcast clouds
125,Sergeyevka,KZ,53.88,67.4158,64.58,57,93,13.85,overcast clouds
126,Harvard,US,42.4222,-88.6137,64.18,81,0,8.01,clear sky
127,Asfi,MA,32.2994,-9.2372,69.13,86,0,8.3,clear sky
128,Colonia,DE,50.9333,6.95,58.93,89,20,3.44,few clouds
129,Dakar,SN,14.6937,-17.4441,73.53,100,40,21.85,scattered clouds
130,Arinos,BR,-15.9169,-46.1056,75.27,30,0,1.32,clear sky
131,Orel-Izumrud,RU,43.4583,39.9244,69.82,88,90,8.95,light intensity shower rain
132,Nanortalik,GL,60.1432,-45.2371,38.26,79,29,10.47,scattered clouds
133,Middletown,US,39.5151,-84.3983,67.46,87,1,3.44,clear sky
134,Bytosh,RU,53.8186,34.0912,39.36,92,6,4.03,clear sky
135,Peniche,PT,39.3558,-9.3811,69.3,90,30,12.88,scattered clouds
136,Jumla,NP,29.2747,82.1838,61.83,92,100,2.26,overcast clouds
137,Inegol,TR,40.0781,29.5133,58.28,77,100,2.73,overcast clouds
138,Mahebourg,MU,-20.4081,57.7,69.26,78,72,9.26,light rain
139,Akcakoca,TR,41.0866,31.1162,62.02,89,100,1.88,overcast clouds
140,Normandin,CA,48.8333,-72.5321,49.12,88,66,4.99,broken clouds
141,Lluta,PE,-16.0147,-72.0142,50.4,47,92,3.04,overcast clouds
142,Sohag,EG,26.557,31.6948,76.23,44,0,9.46,clear sky
143,Chardara,KZ,41.2547,67.9692,78.12,24,0,5.75,clear sky
144,Puerto Carreno,CO,6.189,-67.4859,74.07,88,100,5.3,overcast clouds
145,Paamiut,GL,61.994,-49.6678,37.63,74,93,9.06,overcast clouds
146,Mangrol,IN,21.1167,70.1167,81.9,87,98,17.05,overcast clouds
147,Sobreira,PT,41.5237,-7.8023,59.59,94,3,4.09,clear sky
148,Monze,ZM,-16.2833,27.4833,68.45,31,7,3.94,clear sky
149,Macedo De Cavaleiros,PT,41.5382,-6.9611,59.61,82,5,2.73,clear sky
150,Busayra,JO,30.7376,35.6078,61.66,87,4,3.13,clear sky
151,Oneonta,US,42.4529,-75.0638,65.08,89,100,2.42,moderate rain
152,Peachtree City,US,33.3968,-84.5958,70.48,93,100,7.9,moderate rain
153,Lorca,ES,37.6712,-1.7017,70.63,75,1,3.76,clear sky
154,Kjustendil,BG,42.2839,22.6911,58.06,58,1,2.44,clear sky
155,Novyy Urengoy,RU,66.0833,76.6333,42.67,81,93,4.76,overcast clouds
156,Ajdabiya,LY,30.7554,20.2263,70.29,73,0,6.67,clear sky
157,Veliki Trnovac,RS,42.4767,21.7405,60.64,59,38,0.72,scattered clouds
158,Harnosand,SE,62.6323,17.9379,45.0,74,98,4.9,overcast clouds
159,Qaanaaq,GL,77.484,-69.3632,14.92,74,82,8.39,broken clouds
160,Ovre Ardal,NO,61.3167,7.8,50.88,90,100,4.0,light rain
161,Douentza,ML,14.9951,-2.9517,81.88,62,98,7.76,overcast clouds
162,Ptghni,AM,40.2558,44.5841,63.63,42,0,3.58,clear sky
163,Proletarskiy,RU,50.7914,35.7731,42.89,69,15,6.62,few clouds
164,Chaman,PK,30.9236,66.4512,85.32,10,0,4.45,clear sky
165,Rognan,NO,67.0953,15.3878,46.06,82,89,8.28,overcast clouds
166,Loukhi,RU,66.0764,33.0381,38.03,92,94,4.97,overcast clouds
167,Sanary-Sur-Mer,FR,43.1178,5.8001,73.62,91,98,4.0,overcast clouds
168,Marrakesh,MA,31.6315,-8.0083,69.87,73,75,6.91,broken clouds
169,Farakka,IN,24.8167,87.9,86.31,73,92,4.83,overcast clouds
170,Rudozem,BG,41.4833,24.85,52.75,67,3,4.41,clear sky
171,Bambous Virieux,MU,-20.3428,57.7575,69.22,78,79,8.75,light rain
172,Obninsk,RU,55.0969,36.6103,41.25,84,47,5.64,scattered clouds
173,Khabary,RU,53.6259,79.5345,66.0,31,97,10.09,overcast clouds
174,Torrevieja,ES,37.9787,-0.6822,74.08,83,5,7.18,clear sky
175,San Jose,US,37.3394,-121.895,64.78,79,1,9.22,clear sky
176,Bonavista,CA,48.6499,-53.1147,50.11,74,100,19.08,overcast clouds
177,Talcahuano,CL,-36.7167,-73.1167,47.88,87,0,3.44,clear sky
178,Sungurlu,TR,40.1675,34.3739,59.16,85,100,5.01,light rain
179,Guiratinga,BR,-16.3494,-53.7583,77.29,52,8,2.66,clear sky
